timestamp,Vibration_01,Vibration_02,Vibration_03,Temperature_01,RPM_Sensor_01,Failure_Type_Encoded,,Target
10/30/2024 16:05,6.997205176,2.514852817,4.042581139,36.17339258,442.7071863,No Failure,,0
10/25/2024 9:11,7.097173688,3.897051155,4.722751278,30.70489276,372.4687138,No Failure,,0
10/15/2024 14:09,4.526356019,2.121595713,7.034721237,47.33633518,352.4822673,No Failure,,0
10/4/2024 16:54,4.030344592,4.580839974,4.639883124,44.41974989,425.2431013,No Failure,,0
10/4/2024 15:38,5.647404931,6.838125382,7.942515888,31.27385279,435.0294613,No Failure,,0
9/27/2024 11:14,2.764808896,3.104303261,2.413897669,30.9732122,422.4569063,No Failure,,0
10/16/2024 10:01,3.862484097,6.576981834,7.12830908,33.49614505,413.6110786,No Failure,,0
10/30/2024 16:46,4.024507848,6.928046386,7.181671316,29.85325169,428.8294914,No Failure,,0
10/17/2024 15:22,2,6.651992875,5.707947275,35.27099725,372.9720243,Drill Issue,,1
10/16/2024 12:22,4.61273814,3.832464569,5.000376767,44.48078196,446.3404348,No Failure,,0
10/15/2024 9:43,4.32826282,5.871868212,5.702991307,49.76099374,435.3579568,No Failure,,0
10/11/2024 14:34,5.695400463,7.328878447,7.576317179,49.85241527,378.402914,No Failure,,0
10/21/2024 15:30,4.07449271,4.360119389,4.001215615,48.68866484,385.0126043,No Failure,,0
9/27/2024 13:16,7.06441323,3.277367451,7.598486558,44.81574947,441.4439939,No Failure,,0
10/25/2024 10:15,4.821872255,2.192351943,4.458464134,35.4893231,359.9340064,No Failure,,0
10/8/2024 9:28,7.890380404,7.957155317,3.341972555,48.28620216,424.4445133,No Failure,,0
10/22/2024 13:11,2.003789547,2.154525364,7.448526934,36.61729061,410.75725,No Failure,,0
10/14/2024 14:33,3.373081001,4.916112231,3.984242552,29.20803587,426.6420059,No Failure,,0
10/23/2024 12:04,4.471326812,7.857018379,4.280295609,29.09897367,351.8990115,No Failure,,0
10/24/2024 14:36,4.603008732,4.263194737,6.889326869,33.90878222,370.9705571,No Failure,,0
10/3/2024 13:39,3.957957302,6.761687672,4.696172196,41.19175972,448.9119312,No Failure,,0
10/22/2024 13:46,5.143822759,7.806711745,6.726338528,29.42376786,421.8220131,No Failure,,0
10/4/2024 11:55,7.623593218,5.539199376,4.428860437,39.03265057,373.304972,No Failure,,0
10/8/2024 9:59,5.536902648,7.053754119,5.985151932,37.89371329,447.4347636,No Failure,,0
10/2/2024 15:41,6.193839898,4.807617398,4.434532227,43.36643202,427.1952617,No Failure,,0
10/7/2024 14:56,7.136326495,7.759057741,5.881266551,45.20746639,441.7183428,No Failure,,0
10/15/2024 11:33,6.916284605,7.076072701,6.169596444,41.06696498,386.0956906,No Failure,,0
10/16/2024 16:27,4.812147252,6.225922192,4.347297265,27.33958146,392.9753654,No Failure,,0
10/4/2024 9:26,7.324795405,2.772528604,5.447617524,46.67205861,367.5861382,No Failure,,0
10/23/2024 14:27,3.075839592,4.860476371,6.145945492,32.10896967,361.0663592,No Failure,,0
10/17/2024 16:12,4.529321236,3.709590982,2.944327147,40.90386542,370.9741873,Drill Issue,,1
10/10/2024 13:28,7.727333552,2.692205141,4.50720095,37.09401381,369.4207446,No Failure,,0
10/14/2024 15:28,2.792028885,7.590334222,5.694627465,38.43304073,407.5156497,No Failure,,0
10/7/2024 10:33,4.288729509,5.591126153,7.539082091,45.41603328,419.276189,No Failure,,0
10/21/2024 11:24,5.980072604,7.440726904,5.078827674,29.42814124,429.4872479,No Failure,,0
10/17/2024 14:40,5.024034134,3.491206151,2.614846903,44.94023401,371.6426463,Drill Issue,,1
10/28/2024 9:11,5.253118834,2.861817341,5.874639196,38.71615559,432.384498,No Failure,,0
10/15/2024 13:23,3.291381538,7.405970135,5.198048895,29.86616983,447.4399491,No Failure,,0
10/7/2024 10:54,6.620711774,4.639716572,7.401199179,40.56096047,396.9127959,No Failure,,0
10/17/2024 14:22,3.733038808,4.300655895,2.092079085,41.36245915,376.7126324,No Failure,,0
9/27/2024 9:46,5.959778024,6.137049189,6.152241942,33.73139916,390.0275855,No Failure,,0
10/23/2024 11:17,3.119514418,2.868638797,3.025383086,45.86979218,379.5407225,No Failure,,0
10/4/2024 11:48,6.402694558,7.904677594,5.728022271,31.36252348,370.9904189,No Failure,,0
10/21/2024 10:46,4.302119482,7.729915311,6.914840408,40.47281869,412.3952032,No Failure,,0
9/27/2024 9:25,2.391770218,3.348625029,2.619840979,29.73582032,425.8400758,No Failure,,0
9/27/2024 15:54,2.318504166,7.394621952,3.19539931,39.07138788,440.5381722,No Failure,,0
